team1_win_rate_vs_team2,team1_won_toss,toss_decision_bat,team1_venue_win_rate,team1_recent_form,team1_won
0.5,1,0,0.5,0.5,0
0.5,0,1,0.5,0.5,0
0.5,0,1,0.5,0.5,1
0.5,1,1,0.5,0.5,0
0.5,0,1,0.5,1.0,1
0.5,0,1,0.5,0.0,1
0.5,1,1,0.5,0.0,0
0.5,0,0,0.5,1.0,1
0.5,0,0,0.5,0.0,0
0.5,0,0,0.5,0.0,1
0.5,0,0,0.5,0.5,0
0.5,0,1,0.5,1.0,1
0.5,0,0,0.5,0.0,0
0.5,0,1,0.5,0.333,1
0.5,0,1,0.5,0.333,0
0.5,1,1,0.5,0.667,0
0.5,0,0,0.5,0.667,1
0.5,0,0,0.5,0.25,0
0.5,1,1,0.5,0.75,1
0.5,1,1,0.5,1.0,0
0.5,1,1,0.5,0.6,1
0.5,0,0,0.5,0.2,1
0.5,0,0,0.5,0.2,1
0.5,0,1,0.5,0.8,1
0.5,0,0,0.5,0.4,0
0.5,0,0,0.5,0.6,0
0.5,1,0,0.5,0.4,1
0.5,0,0,0.5,0.6,0
0.5,1,1,0.5,0.2,1
0.5,1,0,0.5,0.8,1
0.5,0,0,0.5,0.4,1
0.5,0,1,0.5,0.4,0
0.5,1,0,0.5,0.8,1
0.5,0,1,0.5,0.8,1
0.5,1,1,0.5,0.4,1
0.5,1,0,0.5,0.6,1
0.5,0,0,0.5,0.2,1
0.5,1,0,0.5,0.8,1
0.5,1,1,0.5,0.2,0
0.5,0,0,0.5,0.8,1
0.5,1,0,0.5,0.2,0
0.5,1,1,0.5,0.6,0
0.5,0,0,0.5,0.2,0
0.5,0,0,0.5,0.6,0
0.5,1,0,0.5,1.0,0
0.5,0,1,0.5,0.6,0
0.5,1,0,0.5,0.8,1
0.5,1,0,0.5,0.4,1
0.5,0,1,0.5,0.6,0
0.5,1,1,0.5,0.0,0
0.5,0,1,0.5,0.4,1
0.5,1,0,0.5,1.0,1
0.5,1,1,0.5,0.0,0
0.5,0,0,0.5,0.4,0
0.5,0,0,0.5,0.8,1
0.5,1,0,0.5,0.6,0
0.5,0,1,0.5,0.4,1
0.5,0,0,0.5,0.6,0
0.5,1,0,0.5,0.4,0
0.0,1,1,0.5,0.4,1
0.0,1,0,0.5,0.6,1
0.0,0,1,0.5,0.0,1
0.5,0,1,0.5,0.6,0
0.5,0,0,0.5,0.4,0
1.0,0,1,0.5,0.6,0
0.5,0,1,0.5,0.6,0
0.0,1,0,0.5,0.4,0
0.0,1,1,0.5,0.4,0
0.5,1,1,0.5,0.4,1
0.0,1,1,0.5,0.2,0
0.5,1,1,0.5,0.4,1
0.5,0,0,0.5,0.4,0
0.0,0,1,0.5,0.4,0
0.333,1,1,0.5,0.8,0
0.0,0,1,0.5,0.2,1
1.0,1,1,0.5,0.4,1
0.0,0,0,0.5,0.8,0
0.0,0,0,0.5,0.2,1
0.0,0,1,0.5,0.2,0
0.0,1,1,0.5,0.2,1
0.0,1,1,0.5,0.8,0
0.5,0,0,0.5,0.4,1
0.5,0,1,0.5,0.6,1
0.5,0,1,0.5,0.4,1
0.5,1,1,0.5,0.6,1
0.5,1,0,0.5,0.8,0
0.0,0,1,0.5,0.6,1
0.5,1,1,0.5,0.4,1
0.0,0,0,0.5,0.6,0
1.0,1,1,0.5,0.6,1
0.5,0,1,0.5,0.6,1
0.0,0,0,0.5,0.4,0
0.0,0,1,0.5,0.8,1
0.5,0,1,0.5,0.6,0
0.0,1,0,0.5,0.6,1
0.0,1,1,0.5,0.2,1
0.0,1,0,0.5,0.6,1
1.0,1,1,0.5,0.4,0
0.0,1,0,0.5,0.4,0
0.5,0,1,0.5,0.6,1
0.5,0,1,0.5,0.4,0
