Venue,Team,Wins,Total_Matches,Win_Pct
Arun Jaitley Stadium,Chennai Super Kings,1,14,7.1
Arun Jaitley Stadium,Delhi Capitals,8,14,57.1
Arun Jaitley Stadium,Mumbai Indians,1,14,7.1
Arun Jaitley Stadium,Punjab Kings,1,14,7.1
Arun Jaitley Stadium,Royal Challengers Bengaluru,1,14,7.1
Arun Jaitley Stadium,Sunrisers Hyderabad,2,14,14.3
"Arun Jaitley Stadium, Delhi",Chennai Super Kings,2,16,12.5
"Arun Jaitley Stadium, Delhi",Delhi Capitals,6,16,37.5
"Arun Jaitley Stadium, Delhi",Gujarat Titans,1,16,6.2
"Arun Jaitley Stadium, Delhi",Mumbai Indians,3,16,18.8
"Arun Jaitley Stadium, Delhi",Punjab Kings,1,16,6.2
"Arun Jaitley Stadium, Delhi",Rajasthan Royals,1,16,6.2
"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,2,16,12.5
Barabati Stadium,Deccan Chargers,3,7,42.9
Barabati Stadium,Kolkata Knight Riders,3,7,42.9
Barabati Stadium,Punjab Kings,1,7,14.3
"Barsapara Cricket Stadium, Guwahati",Punjab Kings,2,3,66.7
"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,1,3,33.3
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,1,13,7.7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,1,13,7.7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,1,13,7.7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,7,13,53.8
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings,1,13,7.7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,1,13,7.7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bengaluru,1,13,7.7
Brabourne Stadium,Chennai Super Kings,1,10,10.0
Brabourne Stadium,Mumbai Indians,5,10,50.0
Brabourne Stadium,Rajasthan Royals,2,10,20.0
Brabourne Stadium,Royal Challengers Bengaluru,1,10,10.0
Brabourne Stadium,Sunrisers Hyderabad,1,10,10.0
"Brabourne Stadium, Mumbai",Delhi Capitals,4,17,23.5
"Brabourne Stadium, Mumbai",Gujarat Titans,2,17,11.8
"Brabourne Stadium, Mumbai",Lucknow Super Giants,2,17,11.8
"Brabourne Stadium, Mumbai",Mumbai Indians,2,17,11.8
"Brabourne Stadium, Mumbai",Punjab Kings,2,17,11.8
"Brabourne Stadium, Mumbai",Rajasthan Royals,3,17,17.6
"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,2,17,11.8
Buffalo Park,Chennai Super Kings,1,3,33.3
Buffalo Park,Delhi Capitals,1,3,33.3
Buffalo Park,Mumbai Indians,1,3,33.3
De Beers Diamond Oval,Chennai Super Kings,1,3,33.3
De Beers Diamond Oval,Deccan Chargers,1,3,33.3
De Beers Diamond Oval,Punjab Kings,1,3,33.3
Dr DY Patil Sports Academy,Chennai Super Kings,3,17,17.6
Dr DY Patil Sports Academy,Deccan Chargers,2,17,11.8
Dr DY Patil Sports Academy,Delhi Capitals,1,17,5.9
